timestamp,temperature_c,rain_intensity,event_level,event_id,holiday_flag,day_of_week,hour
2026-01-01 00:00:00,20.19,0.0,0,,0,3,0.0
2026-01-01 00:05:00,20.17,0.0,0,,0,3,0.08
2026-01-01 00:10:00,20.15,0.0,0,,0,3,0.17
2026-01-01 00:15:00,20.13,0.0,0,,0,3,0.25
2026-01-01 00:20:00,20.11,0.0,0,,0,3,0.33
2026-01-01 00:25:00,20.1,0.0,0,,0,3,0.42
2026-01-01 00:30:00,20.09,0.0,0,,0,3,0.5
2026-01-01 00:35:00,20.08,0.0,0,,0,3,0.58
2026-01-01 00:40:00,20.07,0.0,0,,0,3,0.67
2026-01-01 00:45:00,20.06,0.0,0,,0,3,0.75
2026-01-01 00:50:00,20.06,0.0,0,,0,3,0.83
2026-01-01 00:55:00,20.05,0.0,0,,0,3,0.92
2026-01-01 01:00:00,20.05,0.0,0,,0,3,1.0
2026-01-01 01:05:00,20.05,0.0,0,,0,3,1.08
2026-01-01 01:10:00,20.06,0.0,0,,0,3,1.17
2026-01-01 01:15:00,20.06,0.0,0,,0,3,1.25
2026-01-01 01:20:00,20.07,0.0,0,,0,3,1.33
2026-01-01 01:25:00,20.08,0.0,0,,0,3,1.42
2026-01-01 01:30:00,20.09,0.0,0,,0,3,1.5
2026-01-01 01:35:00,20.1,0.0,0,,0,3,1.58
2026-01-01 01:40:00,20.11,0.0,0,,0,3,1.67
2026-01-01 01:45:00,20.13,0.0,0,,0,3,1.75
2026-01-01 01:50:00,20.15,0.0,0,,0,3,1.83
2026-01-01 01:55:00,20.17,0.0,0,,0,3,1.92
2026-01-01 02:00:00,20.19,0.0,0,,0,3,2.0
2026-01-01 02:05:00,20.21,0.0,0,,0,3,2.08
2026-01-01 02:10:00,20.24,0.0,0,,0,3,2.17
2026-01-01 02:15:00,20.26,0.0,0,,0,3,2.25
2026-01-01 02:20:00,20.29,0.0,0,,0,3,2.33
2026-01-01 02:25:00,20.32,0.0,0,,0,3,2.42
2026-01-01 02:30:00,20.36,0.0,0,,0,3,2.5
2026-01-01 02:35:00,20.39,0.0,0,,0,3,2.58
2026-01-01 02:40:00,20.43,0.0,0,,0,3,2.67
2026-01-01 02:45:00,20.46,0.0,0,,0,3,2.75
2026-01-01 02:50:00,20.5,0.0,0,,0,3,2.83
2026-01-01 02:55:00,20.54,0.0,0,,0,3,2.92
2026-01-01 03:00:00,20.59,0.0,0,,0,3,3.0
2026-01-01 03:05:00,20.63,0.0,0,,0,3,3.08
2026-01-01 03:10:00,20.68,0.0,0,,0,3,3.17
2026-01-01 03:15:00,20.73,0.0,0,,0,3,3.25
2026-01-01 03:20:00,20.78,0.0,0,,0,3,3.33
2026-01-01 03:25:00,20.83,0.0,0,,0,3,3.42
2026-01-01 03:30:00,20.88,0.0,0,,0,3,3.5
2026-01-01 03:35:00,20.93,0.0,0,,0,3,3.58
2026-01-01 03:40:00,20.99,0.0,0,,0,3,3.67
2026-01-01 03:45:00,21.04,0.0,0,,0,3,3.75
2026-01-01 03:50:00,21.1,0.0,0,,0,3,3.83
2026-01-01 03:55:00,21.16,0.0,0,,0,3,3.92
2026-01-01 04:00:00,21.22,0.0,0,,0,3,4.0
2026-01-01 04:05:00,21.29,0.0,0,,0,3,4.08
2026-01-01 04:10:00,21.35,0.0,0,,0,3,4.17
2026-01-01 04:15:00,21.41,0.0,0,,0,3,4.25
2026-01-01 04:20:00,21.48,0.0,0,,0,3,4.33
2026-01-01 04:25:00,21.55,0.0,0,,0,3,4.42
2026-01-01 04:30:00,21.62,0.0,0,,0,3,4.5
2026-01-01 04:35:00,21.69,0.0,0,,0,3,4.58
2026-01-01 04:40:00,21.76,0.0,0,,0,3,4.67
2026-01-01 04:45:00,21.83,0.0,0,,0,3,4.75
2026-01-01 04:50:00,21.9,0.0,0,,0,3,4.83
2026-01-01 04:55:00,21.98,0.0,0,,0,3,4.92
2026-01-01 05:00:00,22.05,0.0,0,,0,3,5.0
2026-01-01 05:05:00,22.13,0.0,0,,0,3,5.08
2026-01-01 05:10:00,22.2,0.0,0,,0,3,5.17
2026-01-01 05:15:00,22.28,0.0,0,,0,3,5.25
2026-01-01 05:20:00,22.36,0.0,0,,0,3,5.33
2026-01-01 05:25:00,22.44,0.0,0,,0,3,5.42
2026-01-01 05:30:00,22.52,0.0,0,,0,3,5.5
2026-01-01 05:35:00,22.6,0.0,0,,0,3,5.58
