timestamp,segment_id,source_node,target_node,speed_kmh,flow_vph,occupancy_pct,travel_time_min,free_flow_time_min,delay_min,queue_length_veh,congestion_index,sensor_quality,temperature_c,rain_intensity,event_level,event_id,holiday_flag,day_of_week,hour,roadwork_active,speed_anomaly,flow_anomaly,queue_anomaly,is_anomaly
2026-01-01 00:00:00,R0062,N028,N016,49.66,904.2,28.77,1.937,1.924,0.013,0.0,0.0067,1.0,20.19,0.0,0,,0,3,0,0,True,False,False,True
2026-01-01 00:00:00,R0112,N041,N029,58.35,1676.0,42.08,0.844,0.821,0.023,0.0,0.0275,1.0,20.19,0.0,0,,0,3,0,0,True,False,False,True
2026-01-01 00:00:00,R0133,N035,N036,57.97,1800.2,44.69,1.31,1.266,0.044,0.0,0.0339,1.0,20.19,0.0,0,,0,3,0,0,True,False,False,True
2026-01-01 00:00:00,R0199,N052,N064,59.78,492.2,24.78,1.203,1.199,0.004,0.0,0.0037,1.0,20.19,0.0,0,,0,3,0,0,True,False,False,True
2026-01-01 00:00:00,R0277,N073,N074,28.32,1431.1,51.94,2.072,1.956,0.116,0.0,0.0561,1.0,20.19,0.0,0,,0,3,0,0,True,False,False,True
2026-01-01 00:00:00,R0345,N090,N102,38.03,1365.5,49.88,1.642,1.562,0.081,0.0,0.0491,1.0,20.19,0.0,0,,0,3,0,0,True,False,False,True
2026-01-01 00:00:00,R0381,N100,N101,59.34,712.4,32.73,1.685,1.666,0.019,0.0,0.011,1.0,20.19,0.0,0,,0,3,0,0,True,False,False,True
2026-01-01 00:05:00,R0042,N012,N011,59.48,657.8,30.75,1.2,1.19,0.01,0.0,0.0087,1.0,20.17,0.0,0,,0,3,0,0,True,False,False,True
2026-01-01 00:05:00,R0121,N032,N033,39.21,996.2,38.28,1.42,1.392,0.028,0.0,0.0197,1.0,20.17,0.0,0,,0,3,0,0,True,False,False,True
2026-01-01 00:05:00,R0267,N070,N071,49.49,691.5,31.97,2.094,2.072,0.021,0.0,0.0101,1.0,20.17,0.0,0,,0,3,0,0,True,False,False,True
2026-01-01 00:05:00,R0398,N105,N104,29.69,699.0,32.24,2.775,2.746,0.029,0.0,0.0104,1.0,20.17,0.0,0,,0,3,0,0,True,False,False,True
2026-01-01 00:05:00,R0427,N115,N116,29.88,769.6,25.53,2.84,2.828,0.012,0.0,0.0042,1.0,20.17,0.0,0,,0,3,0,0,True,False,False,True
2026-01-01 00:10:00,R0080,N022,N021,28.9,1234.5,45.76,2.701,2.602,0.099,0.0,0.0368,1.0,20.15,0.0,0,,0,3,0,0,True,False,False,True
2026-01-01 00:10:00,R0136,N047,N035,28.99,1798.2,44.64,3.225,3.116,0.109,0.0,0.0338,1.0,20.15,0.0,0,,0,3,0,0,True,False,False,True
2026-01-01 00:10:00,R0245,N064,N076,29.75,648.0,30.4,1.644,1.63,0.014,0.0,0.0083,1.0,20.15,0.0,0,,0,3,0,0,True,False,False,True
2026-01-01 00:10:00,R0267,N070,N071,49.49,693.2,32.03,2.094,2.072,0.021,0.0,0.0102,1.0,20.15,0.0,0,,0,3,0,0,True,False,False,True
2026-01-01 00:10:00,R0304,N091,N079,37.68,1447.6,52.46,2.812,2.649,0.163,0.0,0.058,1.0,20.15,0.0,0,,0,3,0,0,True,True,False,True
2026-01-01 00:10:00,R0305,N080,N081,38.9,1115.4,42.02,1.255,1.221,0.034,0.0,0.0274,1.0,20.15,0.0,0,,0,3,0,0,True,False,False,True
2026-01-01 00:10:00,R0379,N099,N111,57.16,2021.0,49.31,0.929,0.885,0.044,0.0,0.0473,1.0,20.15,0.0,0,,0,3,0,0,True,False,False,True
