segment_id,speed_kmh,flow_vph,occupancy_pct,delay_min,queue_length_veh,congestion_index
R0001,59.30564583333334,862.0228935185185,27.84915277777778,0.02030648148148148,0.0,0.011574189814814815
R0002,29.476689814814815,1014.6104166666667,31.522574074074072,0.06508379629629629,0.0,0.01744363425925926
R0003,29.478629629629626,675.0802314814815,31.474692129629634,0.03254791666666667,0.0,0.01738048611111111
R0004,59.546314814814814,722.4784259259259,24.489747685185186,0.010254861111111112,0.0,0.007561574074074073
R0005,39.650432870370366,769.1293287037038,25.61282175925926,0.010772916666666667,0.0,0.008739814814814815
R0006,39.5784375,830.4861574074074,27.090027777777777,0.013515046296296296,0.0,0.010540138888888889
R0007,49.15260185185185,671.1922685185185,31.334217592592594,0.01693449074074074,0.0,0.016945949074074075
R0008,49.47505555555556,551.06375,26.996310185185184,0.020795138888888887,0.0,0.010499282407407409
R0009,48.48091898148148,479.77625,37.22774305555556,0.04404074074074074,0.19571759259259258,0.030381689814814813
R0010,29.222625,906.501087962963,35.561840277777776,0.0651613425925926,0.011435185185185185,0.025914305555555555
R0011,47.72762731481482,1118.1859259259259,42.20885185185185,0.0714849537037037,6.612199074074074,0.04544738425925925
R0012,37.92835185185186,1178.3804166666669,44.09849305555555,0.0727962962962963,11.20835648148148,0.051791828703703705
R0013,29.4743125,1010.7260185185186,31.429064814814815,0.038750925925925925,0.0,0.017523819444444446
R0014,39.43678472222222,617.6875694444444,29.40219212962963,0.019460416666666668,0.0,0.014081689814814816
R0015,59.01172453703703,662.7256481481481,31.028585648148145,0.01715,0.0,0.016472199074074073
R0016,59.13632175925926,628.0114351851852,29.7749212962963,0.02533888888888889,0.0,0.014395185185185184
R0017,59.55603009259259,471.5460185185185,24.124895833333333,0.007245833333333333,0.0,0.007399328703703704
R0018,49.628761574074076,236.06912037037037,24.14614814814815,0.010717361111111112,0.0,0.00742576388888889
R0019,39.53549074074074,570.8037962962962,27.709097222222223,0.021271064814814816,0.0,0.011614537037037036
R0020,59.50213194444444,485.13173611111114,24.615446759259257,0.014779629629629629,0.0,0.008297453703703703
R0021,39.02235648148148,886.797013888889,34.94315509259259,0.06344212962962963,0.15780092592592593,0.024442037037037036
R0022,47.85615277777777,1096.6589814814815,41.532863425925925,0.07858449074074074,4.582662037037037,0.042876574074074074
R0023,38.12557638888889,1683.1245601851851,42.33125925925926,0.13740671296296295,10.568981481481481,0.046860740740740744
R0024,29.041914351851855,958.3291435185185,37.18624074074074,0.08073194444444444,1.897523148148148,0.0319380787037037
R0025,59.61740046296297,447.3409722222222,23.25079398148148,0.006634953703703704,0.0,0.006376180555555556
R0026,59.14151851851852,625.0565046296297,29.668259259259262,0.019344907407407408,0.0,0.014309375
R0027,49.34387037037037,889.6334027777777,28.51385185185185,0.014899999999999998,0.0,0.013123101851851853
R0028,49.58590277777778,479.27770833333335,24.404090277777776,0.01633634259259259,0.0,0.008282638888888888
R0029,39.43575,623.5174074074074,29.612689814814818,0.03022708333333333,0.0,0.014106990740740741
R0030,29.63654861111111,585.850462962963,28.2524375,0.02765462962962963,0.0,0.012115879629629631
R0031,59.12503472222222,628.6774537037037,29.799020833333334,0.022631712962962965,0.0,0.014582777777777778
R0032,39.58470833333333,819.4407870370371,26.824097222222225,0.025842592592592594,0.0,0.010383981481481482
R0033,58.040875,989.0116435185184,38.152791666666666,0.04556134259259259,0.8082407407407407,0.03265275462962963
R0034,29.11034490740741,953.614074074074,37.04124537037037,0.06731805555555556,0.3008564814814815,0.029653194444444444
R0035,58.45512962962963,1349.2115740740742,35.341081018518516,0.0325537037037037,0.1819212962962963,0.02574861111111111
R0036,48.686375000000005,1361.3755555555556,35.59587037037037,0.03950046296296296,0.1391666666666667,0.026274305555555554
R0037,39.491282407407404,286.3816435185185,27.77983796296296,0.016779861111111113,0.0,0.012718773148148147
R0038,49.10792361111111,663.920162037037,31.071731481481482,0.03859328703703704,0.0,0.017841296296296296
R0039,29.81052314814815,443.88636574074076,23.126050925925924,0.014669444444444445,0.0,0.006318263888888889
R0040,49.60841898148148,736.7942824074073,24.834446759259258,0.011729398148148149,0.0,0.007831689814814816
R0041,39.58915046296296,260.0993981481481,25.881793981481483,0.015453472222222223,0.0,0.010271967592592591
R0042,59.17908101851852,591.3392824074075,28.45084027777778,0.018280787037037036,0.0,0.013683032407407408
R0043,59.3455462962963,507.14590277777774,25.410509259259257,0.02618449074074074,0.0,0.010907337962962964
R0044,49.31992129629629,584.9729166666667,28.220886574074072,0.018335185185185184,0.0,0.013600763888888888
R0045,39.29919444444444,597.0770833333333,28.657898148148146,0.03364953703703703,0.0,0.01752115740740741
R0046,58.96728009259259,673.0190277777779,31.400238425925927,0.03208402777777778,0.0,0.017211736111111108
R0047,49.181460648148146,659.191412037037,30.900990740740742,0.03499143518518519,0.0,0.01637037037037037
R0048,49.47024537037037,558.3529398148148,27.259562499999998,0.011743518518518518,0.0,0.010597152777777777
R0049,39.700238425925924,721.8095601851851,24.473680555555557,0.01920902777777778,0.0,0.007495439814814814
R0050,39.31407870370371,1007.6197453703703,31.354340277777776,0.04469467592592592,0.0,0.017149027777777777
R0051,39.61025925925926,806.3443287037037,26.508736111111112,0.017815972222222223,0.0,0.009743611111111111
R0052,49.24236805555555,639.9484953703703,30.205967592592593,0.02946041666666667,0.0,0.01515361111111111
R0053,59.15809259259259,612.7003703703704,29.22211111111111,0.02495,0.0,0.014031944444444444
R0054,29.62825462962963,874.8354166666667,28.157703703703703,0.032964351851851856,0.0,0.0123925
R0055,48.75306712962963,893.1232407407407,35.14169444444445,0.04422870370370371,0.11006944444444444,0.02493886574074074
